resultId,positionOrder,statusId,fastest_time_delta,fastest_speed_delta,avg_time_delta,avg_speed_delta,gained_pos,win,current_id,winner_fastest_lap_delta,winner_fastest_speed_delta,actual_result,winner_delta
7638.0,5.0,1.0,1.007950508687562,0.9921129570731514,0.99356244900876,1.006238367824836,-3.0,0.0,6.0,0.5210000000000008,-1.2620000000000005,18.0,43166
7639.0,6.0,1.0,1.0039510886638796,0.996063886529306,0.9896201189845224,1.0102455494456473,2.0,0.0,6.0,0.18999999999999773,-0.4619999999999891,7.0,50827
7640.0,7.0,1.0,1.0134844493849835,0.9866952450563994,0.9990173950845932,1.000743520027299,-6.0,0.0,6.0,0.9789999999999992,-2.359000000000009,4.0,52312
7641.0,8.0,1.0,1.010379159517653,0.9897275834139981,0.9959564318935689,1.0038190319212714,-1.0,0.0,6.0,0.7219999999999942,-1.7450000000000045,11.0,65211
7642.0,9.0,11.0,1.013013218626906,0.9871545406056775,0.9985528909427646,1.0012093548907184,-5.0,0.0,6.0,0.9399999999999977,-2.265999999999991,6.0,11808826
7643.0,10.0,11.0,1.0165776564123632,0.983692538669722,1.0020664479130066,0.9976980619954825,4.0,0.0,6.0,1.2349999999999994,-2.967000000000013,12.0,11808826
7644.0,11.0,11.0,1.015901017375124,0.9843444420299875,1.0013994676067912,0.9983592469629163,1.0,0.0,6.0,1.179000000000002,-2.835000000000008,10.0,11808826
7645.0,12.0,11.0,1.01841424808487,0.9819195590762727,1.0038768230298771,0.9958998392431436,0.0,0.0,6.0,1.3870000000000005,-3.3259999999999934,17.0,11808826
7646.0,13.0,11.0,1.016831396051328,0.9834456055787124,1.0023165655278374,0.997447613144182,2.0,0.0,6.0,1.2560000000000002,-3.016999999999996,19.0,11808826
7647.0,14.0,11.0,1.0124936565090257,0.9876582841113373,0.998040745350492,1.0017202705473718,-6.0,0.0,6.0,0.8969999999999914,-2.1639999999999873,15.0,11808826
7648.0,15.0,9.0,1.0208791474348131,0.9795440627407598,1.0063065370025188,0.993490521293631,-1.0,0.0,6.0,1.590999999999994,-3.806999999999988,9.0,11808826
7649.0,16.0,6.0,1.0719774775863318,0.9328539538926532,1.0566754604843942,0.9461356524896964,-2.0,0.0,6.0,5.819999999999993,-13.260999999999996,3.0,11808826
7654.0,1.0,1.0,1.0004790164196184,0.9995187229281646,0.9864088368798047,1.0136012877123801,0.0,1.0,7.0,0.0,0.0,0.0,0
7655.0,2.0,1.0,1.0070654921893711,0.9929808551731034,0.9929026841235274,1.0069713056786174,-1.0,0.0,7.0,0.49500000000000455,-1.0459999999999923,1.0,7666
7656.0,3.0,1.0,1.0030337706575831,0.9969748298341781,0.98892766247737,1.011021552829262,1.0,0.0,7.0,0.19200000000000728,-0.40699999999998226,19.0,13442
7657.0,4.0,1.0,1.0,1.0,0.9859365570802613,1.0140893456632405,-1.0,0.0,7.0,-0.036000000000001364,0.0770000000000266,9.0,15110
7658.0,5.0,1.0,1.002222103946563,0.9977811251882918,0.9881274105948101,1.0118392083573264,-3.0,0.0,7.0,0.13100000000000023,-0.2779999999999916,6.0,15730
7659.0,6.0,1.0,1.008223115203449,0.9918432911851292,0.9940440269724242,1.0058177141584024,0.0,0.0,7.0,0.5820000000000078,-1.2279999999999802,2.0,33586
